aligner,dataset,testcase,Q_score,time_elapsed_ms
MAli-v1.2,BALIS-2,BB11001,0.816,1730
MAli-v1.2,BALIS-2,BB11002,0.214,3104
MAli-v1.2,BALIS-2,BB11003,0.183,8204
MAli-v1.2,BALIS-2,BB11006,0.0699,4514
MAli-v1.2,BALIS-2,BB11007,0.314,8398
MAli-v1.2,BALIS-2,BB11010,0.0427,8222
MAli-v1.2,BALIS-2,BB11012,0.556,6064
MAli-v1.2,BALIS-2,BB11013,0.0517,1880
MAli-v1.2,BALIS-2,BB11017,0.446,4287
MAli-v1.2,BALIS-2,BB11020,0.241,4223
MAli-v1.2,BALIS-2,BB11023,0.135,6049
MAli-v1.2,BALIS-2,BB11024,0.0906,6773
MAli-v1.2,BALIS-2,BB11026,0.143,11467
MAli-v1.2,BALIS-2,BB11028,0.0856,3608
MAli-v1.2,BALIS-2,BB11030,0.044,6442
MAli-v1.2,BALIS-2,BB11032,0.117,6292
MAli-v1.2,BALIS-2,BB11034,0.124,11203
MAli-v1.2,BALIS-2,BB11035,0.232,2338
MAli-v1.2,BALIS-2,BB11036,0.161,7058
MAli-v1.2,BALIS-2,BB12001,0.667,7639
MAli-v1.2,BALIS-2,BB12003,0.946,1351
MAli-v1.2,BALIS-2,BB12006,0.886,3570
MAli-v1.2,BALIS-2,BB12008,0.825,5790
MAli-v1.2,BALIS-2,BB12015,0.483,3109
MAli-v1.2,BALIS-2,BB12017,0.612,7692
MAli-v1.2,BALIS-2,BB12020,0.848,2319
MAli-v1.2,BALIS-2,BB12022,1.0,2494
MAli-v1.2,BALIS-2,BB12025,0.849,3357
MAli-v1.2,BALIS-2,BB12032,0.867,1480
MAli-v1.2,BALIS-2,BB12033,0.553,6913
MAli-v1.2,BALIS-2,BB12035,0.89,4249
MAli-v1.2,BALIS-2,BB12036,0.686,3928
MAli-v1.2,BALIS-2,BB12038,0.811,4048
MAli-v1.2,BALIS-2,BB12041,0.635,2202
MAli-v1.2,BALIS-2,BB12043,0.825,4178
MAli-v1.2,BALIS-2,BB20002,0.129,3254
MAli-v1.2,BALIS-2,BB20005,0.0648,7782
MAli-v1.2,BALIS-2,BB20010,0.289,9515
MAli-v1.2,BALIS-2,BB20016,0.513,5125
MAli-v1.2,BALIS-2,BB20018,0.725,5440
MAli-v1.2,BALIS-2,BB20019,0.0,10629
MAli-v1.2,BALIS-2,BB20020,0.667,4539
MAli-v1.2,BALIS-2,BB20025,0.156,6933
MAli-v1.2,BALIS-2,BB20026,0.0,11775
MAli-v1.2,BALIS-2,BB20028,0.65,8545
MAli-v1.2,BALIS-2,BB20029,0.046,1838
MAli-v1.2,BALIS-2,BB20030,0.0833,1840
MAli-v1.2,BALIS-2,BB20031,0.0587,6123
MAli-v1.2,BALIS-2,BB20032,0.412,1984
MAli-v1.2,BALIS-2,BB20033,0.458,2128
MAli-v1.2,BALIS-2,BB20034,0.149,6726
MAli-v1.2,BALIS-2,BB20035,0.0467,5410
MAli-v1.2,BALIS-2,BB20036,0.0926,3882
MAli-v1.2,BALIS-2,BB20037,0.164,12187
MAli-v1.2,BALIS-2,BB20038,0.257,2275
MAli-v1.2,BALIS-2,BB20039,0.0272,6874
MAli-v1.2,BALIS-2,BB20040,0.451,7743
MAli-v1.2,BALIS-2,BB30002,0.255,7472
MAli-v1.2,BALIS-2,BB30003,0.101,7929
MAli-v1.2,BALIS-2,BB30005,0.543,9140
MAli-v1.2,BALIS-2,BB30009,0.0123,1816
MAli-v1.2,BALIS-2,BB30010,0.281,9796
MAli-v1.2,BALIS-2,BB30012,0.342,7415
MAli-v1.2,BALIS-2,BB30013,0.0322,10530
MAli-v1.2,BALIS-2,BB30020,0.0952,4733
MAli-v1.2,BALIS-2,BB30024,0.0905,6122
MAli-v1.2,BALIS-2,BB30030,0.282,7060
MAli-v1.2,BALIS-2,BB40002,0.504,3126
MAli-v1.2,BALIS-2,BB40006,0.356,6849
MAli-v1.2,BALIS-2,BB40011,0.637,4289
MAli-v1.2,BALIS-2,BB40012,0.65,5362
MAli-v1.2,BALIS-2,BB40013,0.507,5096
MAli-v1.2,BALIS-2,BB40014,0.823,5097
MAli-v1.2,BALIS-2,BB40017,0.408,3642
MAli-v1.2,BALIS-2,BB40023,0.606,9037
MAli-v1.2,BALIS-2,BB40030,0.489,5366
MAli-v1.2,BALIS-2,BB40034,0.259,11699
MAli-v1.2,BALIS-2,BB40035,0.935,4575
MAli-v1.2,BALIS-2,BB40040,0.844,4068
MAli-v1.2,BALIS-2,BB40042,0.303,6009
MAli-v1.2,BALIS-2,BB40043,0.177,6123
MAli-v1.2,BALIS-2,BB40044,0.448,3942
MAli-v1.2,BALIS-2,BB40045,0.663,2236
MAli-v1.2,BALIS-2,BB50002,0.0592,13709
MAli-v1.2,BALIS-2,BB50003,0.399,9307
MAli-v1.2,BALIS-2,BB50006,0.0723,12612
MAli-v1.2,BALIS-2,BB50009,0.248,7956
MAli-v1.2,BALIS-2,BB50010,0.244,7634
MAli-v1.2,BALIS-2,BB50013,0.685,4482
MAli-v1.2,BALIS-2,BB50015,0.0185,9072
