aligner,dataset,testcase,Q_score,time_elapsed_ms
MAli-v1.21,BALIS-2,BB11001,0.737,1009
MAli-v1.21,BALIS-2,BB11002,0.252,1704
MAli-v1.21,BALIS-2,BB11003,0.182,3668
MAli-v1.21,BALIS-2,BB11006,0.0588,2169
MAli-v1.21,BALIS-2,BB11007,0.279,3532
MAli-v1.21,BALIS-2,BB11010,0.094,3746
MAli-v1.21,BALIS-2,BB11012,0.533,3049
MAli-v1.21,BALIS-2,BB11013,0.00345,1213
MAli-v1.21,BALIS-2,BB11017,0.401,2093
MAli-v1.21,BALIS-2,BB11020,0.126,2133
MAli-v1.21,BALIS-2,BB11023,0.142,3071
MAli-v1.21,BALIS-2,BB11024,0.0469,3318
MAli-v1.21,BALIS-2,BB11026,0.114,5497
MAli-v1.21,BALIS-2,BB11028,0.0578,1912
MAli-v1.21,BALIS-2,BB11030,0.0505,3261
MAli-v1.21,BALIS-2,BB11032,0.0183,3025
MAli-v1.21,BALIS-2,BB11034,0.144,5063
MAli-v1.21,BALIS-2,BB11035,0.262,1443
MAli-v1.21,BALIS-2,BB11036,0.0901,3401
MAli-v1.21,BALIS-2,BB12001,0.481,3222
MAli-v1.21,BALIS-2,BB12003,0.946,960
MAli-v1.21,BALIS-2,BB12006,0.849,1962
MAli-v1.21,BALIS-2,BB12008,0.795,2885
MAli-v1.21,BALIS-2,BB12015,0.383,1545
MAli-v1.21,BALIS-2,BB12017,0.613,3628
MAli-v1.21,BALIS-2,BB12020,0.816,1347
MAli-v1.21,BALIS-2,BB12022,0.895,1451
MAli-v1.21,BALIS-2,BB12025,0.839,1881
MAli-v1.21,BALIS-2,BB12032,0.859,964
MAli-v1.21,BALIS-2,BB12033,0.412,3346
MAli-v1.21,BALIS-2,BB12035,0.846,2118
MAli-v1.21,BALIS-2,BB12036,0.716,1980
MAli-v1.21,BALIS-2,BB12038,0.81,2002
MAli-v1.21,BALIS-2,BB12041,0.589,1294
MAli-v1.21,BALIS-2,BB12043,0.849,2094
MAli-v1.21,BALIS-2,BB20002,0.0,1614
MAli-v1.21,BALIS-2,BB20005,0.0164,3588
MAli-v1.21,BALIS-2,BB20010,0.553,4253
MAli-v1.21,BALIS-2,BB20016,0.482,2630
MAli-v1.21,BALIS-2,BB20018,0.699,2550
MAli-v1.21,BALIS-2,BB20019,0.004,4687
MAli-v1.21,BALIS-2,BB20020,0.667,2384
MAli-v1.21,BALIS-2,BB20025,0.156,3033
MAli-v1.21,BALIS-2,BB20026,0.0743,4944
MAli-v1.21,BALIS-2,BB20028,0.543,3807
MAli-v1.21,BALIS-2,BB20029,0.0517,1352
MAli-v1.21,BALIS-2,BB20030,0.0521,1172
MAli-v1.21,BALIS-2,BB20031,0.0571,3063
MAli-v1.21,BALIS-2,BB20032,0.37,1524
MAli-v1.21,BALIS-2,BB20033,0.425,1242
MAli-v1.21,BALIS-2,BB20034,0.141,3104
MAli-v1.21,BALIS-2,BB20035,0.0571,2560
MAli-v1.21,BALIS-2,BB20036,0.0889,1745
MAli-v1.21,BALIS-2,BB20037,0.152,4785
MAli-v1.21,BALIS-2,BB20038,0.305,1291
MAli-v1.21,BALIS-2,BB20039,0.0,3267
MAli-v1.21,BALIS-2,BB20040,0.398,3453
MAli-v1.21,BALIS-2,BB30002,0.256,3485
MAli-v1.21,BALIS-2,BB30003,0.0964,4800
MAli-v1.21,BALIS-2,BB30005,0.461,3927
MAli-v1.21,BALIS-2,BB30009,0.0,1146
MAli-v1.21,BALIS-2,BB30010,0.265,3991
MAli-v1.21,BALIS-2,BB30012,0.386,3254
MAli-v1.21,BALIS-2,BB30013,0.0322,4812
MAli-v1.21,BALIS-2,BB30020,0.193,2316
MAli-v1.21,BALIS-2,BB30024,0.0933,2775
MAli-v1.21,BALIS-2,BB30030,0.202,3067
MAli-v1.21,BALIS-2,BB40002,0.521,1593
MAli-v1.21,BALIS-2,BB40006,0.362,2971
MAli-v1.21,BALIS-2,BB40011,0.38,2372
MAli-v1.21,BALIS-2,BB40012,0.619,2686
MAli-v1.21,BALIS-2,BB40013,0.479,2410
MAli-v1.21,BALIS-2,BB40014,0.797,2411
MAli-v1.21,BALIS-2,BB40017,0.351,1673
MAli-v1.21,BALIS-2,BB40023,0.632,4043
MAli-v1.21,BALIS-2,BB40030,0.646,2556
MAli-v1.21,BALIS-2,BB40034,0.224,4841
MAli-v1.21,BALIS-2,BB40035,0.935,2377
MAli-v1.21,BALIS-2,BB40040,0.815,2104
MAli-v1.21,BALIS-2,BB40042,0.432,2815
MAli-v1.21,BALIS-2,BB40043,0.168,2728
MAli-v1.21,BALIS-2,BB40044,0.267,1919
MAli-v1.21,BALIS-2,BB40045,0.605,1279
MAli-v1.21,BALIS-2,BB50002,0.0464,5598
MAli-v1.21,BALIS-2,BB50003,0.37,4098
MAli-v1.21,BALIS-2,BB50006,0.0397,5199
MAli-v1.21,BALIS-2,BB50009,0.119,3628
MAli-v1.21,BALIS-2,BB50010,0.16,3143
MAli-v1.21,BALIS-2,BB50013,0.664,2210
MAli-v1.21,BALIS-2,BB50015,0.024,4391
