aligner,dataset,testcase,Q_score,time_elapsed_ms
MAli-v1.1,BALIS-2,BB11001,0.684,1516
MAli-v1.1,BALIS-2,BB11002,0.0,2655
MAli-v1.1,BALIS-2,BB11003,0.0722,5596
MAli-v1.1,BALIS-2,BB11006,0.0558,3460
MAli-v1.1,BALIS-2,BB11007,0.102,5290
MAli-v1.1,BALIS-2,BB11010,0.0556,5253
MAli-v1.1,BALIS-2,BB11012,0.256,4344
MAli-v1.1,BALIS-2,BB11013,0.0414,1692
MAli-v1.1,BALIS-2,BB11017,0.291,3127
MAli-v1.1,BALIS-2,BB11020,0.0807,3164
MAli-v1.1,BALIS-2,BB11023,0.0215,4757
MAli-v1.1,BALIS-2,BB11024,0.0178,5046
MAli-v1.1,BALIS-2,BB11026,0.0,9079
MAli-v1.1,BALIS-2,BB11028,0.0356,2933
MAli-v1.1,BALIS-2,BB11030,0.0159,5245
MAli-v1.1,BALIS-2,BB11032,0.0103,4732
MAli-v1.1,BALIS-2,BB11034,0.00821,8020
MAli-v1.1,BALIS-2,BB11035,0.181,1961
MAli-v1.1,BALIS-2,BB11036,0.0388,5026
MAli-v1.1,BALIS-2,BB12001,0.447,4701
MAli-v1.1,BALIS-2,BB12003,0.946,1306
MAli-v1.1,BALIS-2,BB12006,0.675,2840
MAli-v1.1,BALIS-2,BB12008,0.532,4398
MAli-v1.1,BALIS-2,BB12015,0.147,2604
MAli-v1.1,BALIS-2,BB12017,0.215,5352
MAli-v1.1,BALIS-2,BB12020,0.541,1897
MAli-v1.1,BALIS-2,BB12022,0.327,2042
MAli-v1.1,BALIS-2,BB12025,0.797,2582
MAli-v1.1,BALIS-2,BB12032,0.6,1267
MAli-v1.1,BALIS-2,BB12033,0.275,4920
MAli-v1.1,BALIS-2,BB12035,0.23,3306
MAli-v1.1,BALIS-2,BB12036,0.305,3043
MAli-v1.1,BALIS-2,BB12038,0.685,3084
MAli-v1.1,BALIS-2,BB12041,0.45,1795
MAli-v1.1,BALIS-2,BB12043,0.259,3523
MAli-v1.1,BALIS-2,BB20002,0.0,2457
MAli-v1.1,BALIS-2,BB20005,0.0187,5679
MAli-v1.1,BALIS-2,BB20010,0.39,6355
MAli-v1.1,BALIS-2,BB20016,0.0667,4096
MAli-v1.1,BALIS-2,BB20018,0.283,3702
MAli-v1.1,BALIS-2,BB20019,0.0,7371
MAli-v1.1,BALIS-2,BB20020,0.22,3179
MAli-v1.1,BALIS-2,BB20025,0.0,4607
MAli-v1.1,BALIS-2,BB20026,0.0,7837
MAli-v1.1,BALIS-2,BB20028,0.0367,5672
MAli-v1.1,BALIS-2,BB20029,0.0,1625
MAli-v1.1,BALIS-2,BB20030,0.0729,1593
MAli-v1.1,BALIS-2,BB20031,0.0,4668
MAli-v1.1,BALIS-2,BB20032,0.285,3140
MAli-v1.1,BALIS-2,BB20033,0.28,1749
MAli-v1.1,BALIS-2,BB20034,0.0306,4541
MAli-v1.1,BALIS-2,BB20035,0.00857,4029
MAli-v1.1,BALIS-2,BB20036,0.063,2786
MAli-v1.1,BALIS-2,BB20037,0.0,8081
MAli-v1.1,BALIS-2,BB20038,0.124,1700
MAli-v1.1,BALIS-2,BB20039,0.0291,4326
MAli-v1.1,BALIS-2,BB20040,0.0633,4622
MAli-v1.1,BALIS-2,BB30002,0.0174,4367
MAli-v1.1,BALIS-2,BB30003,0.0357,4952
MAli-v1.1,BALIS-2,BB30005,0.104,4818
MAli-v1.1,BALIS-2,BB30009,0.0,1441
MAli-v1.1,BALIS-2,BB30010,0.135,5507
MAli-v1.1,BALIS-2,BB30012,0.0792,4206
MAli-v1.1,BALIS-2,BB30013,0.0,6350
MAli-v1.1,BALIS-2,BB30020,0.0,3315
MAli-v1.1,BALIS-2,BB30024,0.0267,4126
MAli-v1.1,BALIS-2,BB30030,0.0058,4431
MAli-v1.1,BALIS-2,BB40002,0.0952,2287
MAli-v1.1,BALIS-2,BB40006,0.0414,4039
MAli-v1.1,BALIS-2,BB40011,0.0381,3056
MAli-v1.1,BALIS-2,BB40012,0.257,3483
MAli-v1.1,BALIS-2,BB40013,0.176,3474
MAli-v1.1,BALIS-2,BB40014,0.247,3199
MAli-v1.1,BALIS-2,BB40017,0.256,2603
MAli-v1.1,BALIS-2,BB40023,0.334,5107
MAli-v1.1,BALIS-2,BB40030,0.116,3536
MAli-v1.1,BALIS-2,BB40034,0.112,7172
MAli-v1.1,BALIS-2,BB40035,0.522,3237
MAli-v1.1,BALIS-2,BB40040,0.727,2722
MAli-v1.1,BALIS-2,BB40042,0.0612,3587
MAli-v1.1,BALIS-2,BB40043,0.0,4066
MAli-v1.1,BALIS-2,BB40044,0.0107,2588
MAli-v1.1,BALIS-2,BB40045,0.426,1656
MAli-v1.1,BALIS-2,BB50002,0.00733,8451
MAli-v1.1,BALIS-2,BB50003,0.0,5434
MAli-v1.1,BALIS-2,BB50006,0.00898,7669
MAli-v1.1,BALIS-2,BB50009,0.044,4714
MAli-v1.1,BALIS-2,BB50010,0.197,4261
MAli-v1.1,BALIS-2,BB50013,0.412,2949
MAli-v1.1,BALIS-2,BB50015,0.0,5805
